adult,original_language,popularity,runtime,title,vote_average,vote_count,Year,budget,revenue
FALSE,en,5.510288,100,The Meddler,6,89,2016,3.2,4.267218
FALSE,zh,2.32186,123,Finding Mr. Right,6.3,42,2013,4.881,81.35
FALSE,en,39.540653,129,Now You See Me 2,6.7,3362,2016,90,334.901337
FALSE,en,9.2467,96,Café Society,6.4,826,2016,30,43.763247
FALSE,en,9.196678,97,Swiss Army Man,6.8,839,2016,3,4.210454
FALSE,ko,1.398756,126,A Violent Prosecutor,7.6,25,2016,0.0005,0.00005
FALSE,ro,2.840429,127,Graduation,6.7,54,2016,2,0.343617
FALSE,en,13.047776,112,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,984,2016,135,245.623848
FALSE,en,12.187189,92,The Darkness,4.5,162,2016,4,10.898293
FALSE,it,2.906503,108,Boris - Il film,6.8,74,2011,3.34785,1.248748
FALSE,en,14.767317,134,The Conjuring 2,7,2018,2016,40,320.170008
FALSE,en,17.162744,116,Ghostbusters,5.3,2203,2016,144,229.147509
FALSE,en,11.374041,107,Central Intelligence,6.2,1699,2016,50,216.972543
FALSE,hi,4.195845,149,Udta Punjab,7.4,32,2016,5.98,14.9
FALSE,hi,1.434237,136,Te3n,6.8,23,2016,5.069632,4.817642
FALSE,en,19.133256,123,Jason Bourne,5.9,2386,2016,120,415.484914
FALSE,hi,1.668794,127,Raman Raghav 2.0,7.1,27,2016,0.521873,1.013926
FALSE,en,45.38298,109,The Legend of Tarzan,5.5,2488,2016,180,356.743061
FALSE,en,13.1789,105,The Purge: Election Year,6.1,1356,2016,10,118.58788
FALSE,en,12.237571,98,Mike and Dave Need Wedding Dates,5.9,901,2016,33,77.068246
FALSE,en,20.151037,100,Ice Age: Collision Course,5.6,1170,2016,105,408.579038
FALSE,en,11.494907,81,Lights Out,6.3,1174,2016,4.9,148.868835
FALSE,en,12.189941,102,Pete's Dragon,6.2,697,2016,65,143.695338
FALSE,en,5.927867,110,The Duel,5.5,82,2016,10,0.0045
FALSE,en,14.9837,96,Nerve,7.1,2262,2016,19,85.241496
FALSE,en,18.275689,96,Sully,7,2106,2016,60,238.470033
FALSE,hi,6.070606,170,Sultan,7,71,2016,10.4,102
FALSE,ml,1.188662,130,Charlie,7.4,10,2015,1.9,5.9
FALSE,hi,1.506777,153,Kismat Konnection,5,17,2008,4.18,11
FALSE,en,11.504398,127,The Infiltrator,6.6,592,2016,25,15.436808
FALSE,en,16.453573,114,War Dogs,6.8,1392,2016,40,86.234523
FALSE,es,4.987123,96,To Steal from a Thief,6.1,103,2016,6.7,12.118661
FALSE,en,6.488277,72,Batman: The Killing Joke,6.2,485,2016,3.5,3.775
FALSE,en,9.362056,100,Bad Moms,6.3,1287,2016,20,183.936074
FALSE,en,12.565896,102,Hell or High Water,7.2,1304,2016,12,37.589296
FALSE,en,25.869883,88,Don't Breathe,6.7,1830,2016,9.9,157.100845
FALSE,en,52.854103,89,47 Meters Down,5.1,548,2017,5.5,44.235023
FALSE,en,1.628629,107,Hillary's America: The Secret History of the Democratic Party,6.6,28,2016,5,13
FALSE,de,8.969705,90,Robinson Crusoe,5.8,85,2016,13.5,3.342697
FALSE,en,9.51953,104,The Edge of Seventeen,7.3,952,2016,9,18.803648
FALSE,en,8.475983,120,Anthropoid,6.9,251,2016,9,4.6
FALSE,fr,8.226065,130,Elle,6.6,498,2016,9.80469,2.341534
FALSE,ml,0.485424,130,Grandmaster,6.1,10,2012,0.12,0.13
FALSE,ko,22.685169,118,Train to Busan,7.7,984,2016,8.82,2.129768
FALSE,en,14.282584,92,Friend Request,5.3,376,2016,9.9,2.4
FALSE,en,14.288577,99,Mechanic: Resurrection,5.3,1236,2016,40,125.729635
FALSE,en,13.809622,132,The Magnificent Seven,5.9,2358,2016,90,162.360636
FALSE,en,10.912208,107,Skiptrace,5.5,181,2016,32,58.5
FALSE,en,14.171675,111,Moonlight,7.3,1831,2016,4,65.046687
FALSE,zh,2.238595,100,Big Fish & Begonia,6.3,12,2016,4.531653,84.55225
FALSE,da,6.859858,112,A Conspiracy of Faith,6.8,110,2016,5.21,5.9
FALSE,en,9.434588,94,Masterminds,5.6,600,2016,25,29.2
FALSE,te,0.902294,124,Pelli Choopulu,7.8,4,2016,0.2,5.5
FALSE,en,12.321832,102,Kubo and the Two Strings,7.7,982,2016,60,69.929545
FALSE,en,10.754139,123,Bridget Jones's Baby,6.3,972,2016,35,211.95242
FALSE,en,8.483245,133,The Light Between Oceans,6.9,403,2016,20,25.956113
FALSE,en,12.521071,92,Morgan,5.7,436,2016,8,8.810591
FALSE,en,6.164561,124,Queen of Katwe,7.1,103,2016,15,10.367161
FALSE,en,13.1984,107,Deepwater Horizon,6.5,1478,2016,110,121.790373
